bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
45450.0,24992.0,3128413.0,3109583.0,-4229.0,2129.0,18.0
45460.0,24998.0,3130472.0,3112020.0,-4256.0,2124.0,18.0
45470.0,25003.0,3132604.0,3114530.0,-4203.0,2133.0,19.0
45480.0,25009.0,3134590.0,3117040.0,-4233.0,2128.0,18.0
45490.0,25014.0,3136647.0,3119550.0,-4193.0,2135.0,19.0
45500.0,25020.0,3138598.0,3122037.0,-4213.0,2131.0,19.0
45510.0,25025.0,3140604.0,3124523.0,-4235.0,2128.0,18.0
45520.0,25031.0,3142672.0,3127010.0,-4172.0,2138.0,20.0
45530.0,25036.0,3144558.0,3129370.0,-4171.0,2138.0,20.0
45540.0,25042.0,3146438.0,3131730.0,-4194.0,2134.0,19.0
45550.0,25047.0,3148374.0,3134090.0,-4136.0,2144.0,21.0
45560.0,25053.0,3150160.0,3136260.0,-4165.0,2139.0,20.0
45570.0,25058.0,3152003.0,3138430.0,-4102.0,2150.0,22.0
45580.0,25064.0,3153701.0,3140600.0,-4160.0,2140.0,21.0
45590.0,25069.0,3155537.0,3142773.0,-4140.0,2143.0,21.0
45600.0,25075.0,3157327.0,3144947.0,-4126.0,2146.0,22.0
45610.0,25080.0,3159080.0,3147120.0,-4154.0,2141.0,21.0
45620.0,25086.0,3160899.0,3149230.0,-4128.0,2146.0,22.0
45630.0,25091.0,3162653.0,3151340.0,-4105.0,2149.0,22.0
45640.0,25097.0,3164342.0,3153450.0,-4080.0,2153.0,23.0
45650.0,25102.0,3165982.0,3155560.0,-4153.0,2141.0,21.0
45660.0,25108.0,3167795.0,3157670.0,-4167.0,2139.0,20.0
45670.0,25113.0,3169649.0,3159780.0,-4073.0,2155.0,23.0
45680.0,25119.0,3171268.0,3161687.0,-4093.0,2151.0,23.0
45690.0,25124.0,3172918.0,3163593.0,-4060.0,2157.0,24.0
45700.0,25130.0,3174491.0,3165500.0,-4034.0,2161.0,25.0
45710.0,25135.0,3175996.0,3167287.0,-4000.0,2167.0,26.0
45720.0,25141.0,3177448.0,3169073.0,-4100.0,2150.0,23.0
45730.0,25146.0,3179109.0,3170860.0,-4119.0,2147.0,22.0
45740.0,25152.0,3180832.0,3172880.0,-4117.0,2148.0,22.0
45750.0,25157.0,3182557.0,3174900.0,-4128.0,2146.0,22.0
45760.0,25163.0,3184307.0,3176920.0,-4134.0,2145.0,21.0
45770.0,25168.0,3186078.0,3179020.0,-4157.0,2141.0,21.0
45780.0,25174.0,3187908.0,3181120.0,-4150.0,2142.0,21.0
45790.0,25179.0,3189722.0,3183220.0,-4164.0,2140.0,21.0
45800.0,25185.0,3191572.0,3185340.0,-4143.0,2144.0,21.0
45810.0,25190.0,3193370.0,3187460.0,-4163.0,2140.0,21.0
45820.0,25196.0,3195218.0,3189580.0,-4201.0,2134.0,19.0
45830.0,25201.0,3197182.0,3191940.0,-4214.0,2132.0,19.0
45840.0,25207.0,3199191.0,3194300.0,-4269.0,2123.0,17.0
45850.0,25212.0,3201373.0,3196660.0,-4226.0,2130.0,18.0
45860.0,25218.0,3203423.0,3198990.0,-4218.0,2131.0,19.0
45870.0,25223.0,3205442.0,3201320.0,-4217.0,2131.0,19.0
45880.0,25229.0,3207457.0,3203650.0,-4223.0,2131.0,19.0
45890.0,25234.0,3209488.0,3205950.0,-4222.0,2131.0,19.0
45900.0,25240.0,3211513.0,3208250.0,-4200.0,2134.0,19.0
45910.0,25245.0,3213472.0,3210550.0,-4188.0,2136.0,20.0
45920.0,25251.0,3215399.0,3212770.0,-4215.0,2132.0,19.0
45930.0,25256.0,3217392.0,3214990.0,-4165.0,2140.0,20.0
45940.0,25262.0,3219248.0,3217210.0,-4151.0,2143.0,21.0
45950.0,25267.0,3221053.0,3219283.0,-4142.0,2144.0,21.0
45960.0,25273.0,3222835.0,3221357.0,-4149.0,2143.0,21.0
45970.0,25278.0,3224625.0,3223430.0,-4090.0,2153.0,23.0
45980.0,25284.0,3226270.0,3225407.0,-4140.0,2144.0,21.0
45990.0,25289.0,3228034.0,3227383.0,-4109.0,2150.0,22.0
46000.0,25295.0,3229726.0,3229360.0,-4114.0,2149.0,22.0
46010.0,25300.0,3231422.0,3231297.0,-4103.0,2151.0,23.0
46020.0,25306.0,3233090.0,3233233.0,-4085.0,2154.0,23.0
46030.0,25311.0,3234712.0,3235170.0,-4085.0,2154.0,23.0
46040.0,25317.0,3236328.0,3237003.0,-4051.0,2159.0,25.0
46050.0,25322.0,3237865.0,3238837.0,-4062.0,2157.0,24.0
46060.0,25328.0,3239427.0,3240670.0,-4084.0,2154.0,24.0
46070.0,25333.0,3241032.0,3242473.0,-4044.0,2160.0,25.0
46080.0,25339.0,3242554.0,3244277.0,-4040.0,2161.0,25.0
46090.0,25344.0,3244058.0,3246080.0,-4028.0,2163.0,26.0
46100.0,25350.0,3245535.0,3247820.0,-4018.0,2165.0,26.0
46110.0,25355.0,3246998.0,3249560.0,-4057.0,2158.0,25.0
46120.0,25361.0,3248527.0,3251300.0,-3999.0,2168.0,27.0
46130.0,25366.0,3249953.0,3252960.0,-4024.0,2164.0,26.0
46140.0,25372.0,3251410.0,3254620.0,-3994.0,2169.0,27.0
46150.0,25377.0,3252812.0,3256280.0,-3966.0,2173.0,28.0
46160.0,25383.0,3254151.0,3257867.0,-3969.0,2173.0,28.0
46170.0,25388.0,3255498.0,3259453.0,-3988.0,2170.0,27.0
46180.0,25394.0,3256884.0,3261040.0,-4008.0,2166.0,27.0
46190.0,25399.0,3258311.0,3262660.0,-3984.0,2170.0,27.0
46200.0,25405.0,3259691.0,3264280.0,-3989.0,2169.0,27.0
46210.0,25410.0,3261078.0,3265900.0,-3979.0,2171.0,28.0
46220.0,25416.0,3262445.0,3267460.0,-3963.0,2174.0,28.0
46230.0,25421.0,3263782.0,3269020.0,-3969.0,2173.0,28.0
46240.0,25427.0,3265126.0,3270580.0,-3948.0,2176.0,29.0
46250.0,25432.0,3266428.0,3272053.0,-3923.0,2180.0,30.0
46260.0,25438.0,3267685.0,3273527.0,-3931.0,2179.0,30.0
46270.0,25443.0,3268947.0,3275000.0,-3895.0,2185.0,31.0
46280.0,25449.0,3270158.0,3276443.0,-3940.0,2178.0,30.0
46290.0,25454.0,3271441.0,3277887.0,-3939.0,2178.0,30.0
46300.0,25460.0,3272731.0,3279330.0,-3949.0,2176.0,29.0
46310.0,25465.0,3274040.0,3280790.0,-3939.0,2178.0,30.0
46320.0,25471.0,3275331.0,3282250.0,-3914.0,2182.0,31.0
46330.0,25476.0,3276581.0,3283710.0,-3942.0,2177.0,30.0
46340.0,25482.0,3277876.0,3285173.0,-3943.0,2177.0,29.0
46350.0,25487.0,3279179.0,3286637.0,-3927.0,2180.0,30.0
46360.0,25493.0,3280457.0,3288100.0,-3941.0,2177.0,30.0
46370.0,25498.0,3281759.0,3289520.0,-3925.0,2180.0,30.0
46380.0,25504.0,3283025.0,3290940.0,-3894.0,2185.0,32.0
46390.0,25509.0,3284242.0,3292360.0,-3877.0,2188.0,32.0
46400.0,25515.0,3285431.0,3293737.0,-3921.0,2180.0,31.0
46410.0,25520.0,3286690.0,3295113.0,-3903.0,2183.0,31.0
46420.0,25526.0,3287930.0,3296490.0,-3926.0,2180.0,30.0
46430.0,25531.0,3289208.0,3297907.0,-3920.0,2181.0,30.0
