Gasage (yr BP),CO2 (ppmv),sigma mean CO2 (ppmv)
648674.0,2017.0,12.0
650467.0,1992.0,7.0
655464.0,2090.0,33.0
657645.0,1982.0,7.0
659372.0,2006.0,15.0
664393.0,2044.0,29.0
669597.0,2072.0,17.0
673146.0,2011.0,20.0
677297.0,2038.0,11.0
681462.0,2002.0,16.0
686200.0,2034.0,6.0
690815.0,2054.0,9.0
695920.0,2113.0,11.0
700522.0,2156.0,18.0
704273.0,2203.0,5.0
709289.0,2252.0,14.0
712792.0,2350.0,12.0
716937.0,2376.0,8.0
720928.0,2395.0,9.0
724902.0,2328.0,9.0
728660.0,2323.0,10.0
732193.0,2309.0,21.0
737510.0,2327.0,9.0
742215.0,2313.0,7.0
745256.0,2412.0,10.0
750680.0,2433.0,16.0
755451.0,2495.0,7.0
758507.0,2499.0,6.0
762475.0,2393.0,11.0
766967.0,2380.0,20.0
770565.0,2317.0,15.0
776159.0,2249.0,13.0
780808.0,2266.0,8.0
785080.0,2241.0,6.0
789695.0,2273.0,6.0
794104.0,2293.0,13.0
798778.0,2347.0,7.0
803304.0,2306.0,6.0
807218.0,2339.0,15.0
812069.0,2303.0,8.0
817114.0,2341.0,12.0
820688.0,2389.0,9.0
825267.0,2409.0,16.0
829883.0,2463.0,7.0
835541.0,2471.0,10.0
839409.0,2508.0,8.0
843574.0,2432.0,8.0
849368.0,2384.0,11.0
853675.0,2347.0,6.0
858907.0,2288.0,16.0
864983.0,2234.0,7.0
870276.0,2211.0,23.0
875812.0,2236.0,9.0
881362.0,2178.0,16.0
887011.0,2240.0,5.0
892447.0,2274.0,11.0
896963.0,2289.0,6.0
903173.0,2297.0,13.0
908340.0,2316.0,6.0
914450.0,2311.0,6.0
919497.0,2337.0,11.0
926678.0,2325.0,22.0
934247.0,2352.0,8.0
938232.0,2382.0,8.0
945685.0,2424.0,5.0
952341.0,2429.0,11.0
959215.0,2462.0,15.0
